device_id,now-5h,now-4h,now-3h,now-2h,now-1h,now,now+1h,now+2h,now+3h,now+4h,now+5h
74DA38AF47C4,,,,,31.79319,30.0,25.691124,,,,
74DA38AF47D6,,,,,34.891247,31.538461538462,31.254927,,,,
74DA38AF47DA,,,,,27.026169,26.076923076923,23.422483,,,,
74DA38AF47DC,,,,,22.758238,33.166666666667,23.924194,,,,
74DA38AF47E0,,,,,25.959888,19.833333333333,26.900608,,,,
74DA38AF47E6,,,,,48.41551,27.083333333333,33.595657,,,,
74DA38AF47F0,,,,,19.275433,,17.269178,,,,
74DA38AF47F4,,,,,25.417269,40.923076923077,25.767113,,,,
74DA38AF4804,,,,,24.00568,26.0,23.382551,,,,
74DA38AF4806,,,,,52.807274,134.818181818182,67.164375,,,,
74DA38AF480E,,,,,27.95008,25.333333333333,19.685915,,,,
74DA38AF4810,,,,,5.932607,5.833333333333,4.238735,,,,
74DA38AF4812,,,,,38.184227,44.416666666667,38.35986,,,,
74DA38AF481E,,,,,23.506014,,16.444363,,,,
74DA38AF4842,,,,,15.665351,,15.915596,,,,
74DA38AF4846,,,,,8.390975,8.916666666667,5.663835,,,,
74DA38AF484E,,,,,25.224848,,17.257229,,,,
74DA38AF4858,,,,,16.898232,,14.837078,,,,
74DA38AF4862,,,,,20.591335,,18.676476,,,,
74DA38AF486A,,,,,45.586773,52.75,48.000668,,,,
74DA38AF486C,,,,,22.315779,,16.378157,,,,
74DA38AF486E,,,,,38.08837,,35.66304,,,,
74DA38AF487A,,,,,14.28404,22.5,13.507123,,,,
74DA38AF487C,,,,,32.56643,12.333333333333,25.975254,,,,
74DA38AF487E,,,,,12.961397,34.833333333333,13.557577,,,,
74DA38AF4882,,,,,45.235428,54.076923076923,47.69097,,,,
74DA38AF488A,,,,,19.535667,19.75,18.47297,,,,
74DA38AF488C,,,,,19.072733,,16.783527,,,,
74DA38AF4896,,,,,22.49946,,19.884483,,,,
74DA38AF489E,,,,,31.266579,,34.37371,,,,
74DA38AF48A4,,,,,43.014545,43.153846153846,39.923954,,,,
74DA38AF48AC,,,,,20.73997,45.769230769231,20.749094,,,,
74DA38AF48CA,,,,,29.9683,,31.04813,,,,
74DA38AF48D0,,,,,6.248868,9.076923076923,6.5479994,,,,
74DA38AF48DC,,,,,19.158222,24.416666666667,18.55362,,,,
74DA38AF48DE,,,,,24.668573,,16.765282,,,,
74DA38AF48E2,,,,,47.497524,49.25,48.863167,,,,
74DA38AF48F4,,,,,21.062214,41.5,21.980198,,,,
74DA38AF4900,,,,,14.560359,,12.9740505,,,,
74DA38AF4908,,,,,33.294945,27.75,25.935047,,,,
74DA38AF490C,,,,,12.473701,16.461538461538,13.300453,,,,
74DA38AF4928,,,,,28.736248,42.166666666667,29.03316,,,,
74DA38AF4934,,,,,14.718526,37.25,16.178644,,,,
74DA38AF493E,,,,,43.311043,50.769230769231,46.466885,,,,
74DA38AF4946,,,,,19.981207,,19.552008,,,,
74DA38AF4954,,,,,13.560538,10.0,9.562475,,,,
74DA38AF4956,,,,,36.429436,40.692307692308,37.06611,,,,
74DA38AF4958,,,,,43.99896,29.0,33.4097,,,,
74DA38AF495E,,,,,30.25126,37.25,30.833954,,,,
74DA38AF4962,,,,,30.81459,36.0,29.829388,,,,
74DA38AF4966,,,,,22.38252,,15.834352,,,,
74DA38AF4968,,,,,56.241516,44.25,45.004223,,,,
74DA38AF496A,,,,,21.67418,,17.376177,,,,
74DA38AF4972,,,,,15.067842,,13.056619,,,,
74DA38AF4976,,,,,28.695282,,30.471888,,,,
74DA38AF4978,,,,,18.449163,,13.019715,,,,
74DA38B05070,,,,,33.574123,33.166666666667,25.750866,,,,
74DA38B05072,,,,,13.1144705,12.307692307692,11.092841,,,,
74DA38B05074,,,,,31.151833,21.333333333333,26.026497,,,,
74DA38B05082,,,,,22.604023,,15.647773,,,,
74DA38B05088,,,,,22.450655,,18.19768,,,,
74DA38B050B6,,,,,38.95861,49.076923076923,39.149097,,,,
74DA38B050BA,,,,,63.09809,53.416666666667,66.79887,,,,
74DA38B050C2,,,,,32.073643,32.166666666667,27.727325,,,,
74DA38B050D0,,,,,2.9616425,6.5,2.6559618,,,,
74DA38B050DE,,,,,18.314913,,18.900564,,,,
74DA38B050F4,,,,,37.631195,24.916666666667,33.23068,,,,
74DA38B050F8,,,,,30.175407,27.0,25.432417,,,,
74DA38B050FE,,,,,0.83647764,,1.5840453,,,,
74DA38B05100,,,,,40.284866,34.666666666667,38.057198,,,,
74DA38B05106,,,,,32.83994,28.909090909091,31.676344,,,,
74DA38B0513A,,,,,4.9438744,2.846153846154,3.5993059,,,,
74DA38B0514C,,,,,25.380505,18.230769230769,22.403536,,,,
74DA38B0515A,,,,,15.870732,24.833333333333,14.687755,,,,
74DA38B05166,,,,,32.379288,24.636363636364,25.54752,,,,
74DA38B0517A,,,,,19.227186,,16.54933,,,,
74DA38B0517E,,,,,34.3663,37.142857142857,31.627085,,,,
74DA38B05184,,,,,30.673416,34.75,27.988068,,,,
74DA38B0518A,,,,,20.867567,,23.057657,,,,
74DA38B05198,,,,,27.71112,,19.130907,,,,
74DA38B0519E,,,,,60.960373,55.0,63.18962,,,,
74DA38B051A2,,,,,13.245105,,12.399154,,,,
74DA38B051A4,,,,,26.816916,,17.772062,,,,
74DA38B051CA,,,,,38.80921,26.666666666667,32.718967,,,,
74DA38B05204,,,,,23.316114,,20.512472,,,,
74DA38B05208,,,,,3.929482,,2.798308,,,,
74DA38B0520C,,,,,20.203836,,18.146362,,,,
74DA38B05212,,,,,36.581493,24.25,29.392704,,,,
74DA38B05214,,,,,19.427744,,22.122335,,,,
74DA38B05216,,,,,22.877865,17.363636363636,19.414795,,,,
74DA38B05232,,,,,19.834284,,16.528429,,,,
74DA38B05240,,,,,40.22,28.666666666667,32.10302,,,,
74DA38B05254,,,,,21.807344,,20.046974,,,,
74DA38B0525A,,,,,19.96933,,16.269651,,,,
74DA38B0525C,,,,,13.6485615,,13.079967,,,,
74DA38B05260,,,,,22.518436,19.666666666667,20.256815,,,,
74DA38B05262,,,,,28.406912,18.785714285714,24.04263,,,,
74DA38B05294,,,,,30.746035,,34.07304,,,,
74DA38B052A4,,,,,66.26509,0.0,73.94531,,,,
74DA38B052AC,,,,,31.670414,,34.775326,,,,
74DA38B052D2,,,,,31.68035,36.384615384615,32.74359,,,,
74DA38B052FA,,,,,25.35532,,16.339417,,,,
74DA38B052FC,,,,,30.30283,19.666666666667,24.053276,,,,
74DA38B05304,,,,,20.607538,,18.805407,,,,
74DA38B0530E,,,,,15.653287,11.0,11.219377,,,,
74DA38B0532E,,,,,0.35319847,,0.29596502,,,,
74DA38B05334,,,,,21.77762,,23.32729,,,,
74DA38B05344,,,,,19.493937,,18.851643,,,,
74DA38B05360,,,,,75.75362,78.833333333333,73.85149,,,,
74DA38B05384,,,,,19.712563,35.0,17.881311,,,,
74DA38B0538C,,,,,19.00842,,16.55386,,,,
74DA38B053A0,,,,,16.911484,,14.260658,,,,
74DA38B05430,,,,,34.410606,24.923076923077,28.987335,,,,
74DA38B05432,,,,,21.532024,,18.23656,,,,
74DA38B05434,,,,,22.253506,,18.868477,,,,
74DA38B05436,,,,,0.22116387,0.0,0.13878882,,,,
